Prix,Année,BoiteàV,Carburant,kilometrage,Marque,Model,NBporte,Origine,Première main,Puissance fiscale,Etat,équipements
340 000 DH,2022,Automatique,Electrique,20 000 - 24 999,Tesla,Model 3,Pas encore dédouanée,Oui,10 CV,Excellent,,[]
129 000 DH,2013,Manuelle,Diesel,170 000 - 179 999,Hyundai,ix35,8 CV,ABS,Airbags,Climatisation,Jantes aluminium,"[""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Limiteur de vitesse"", ""Ordinateur de bord""]"
570 000 DH,2021,Automatique,Essence,95 000 - 99 999,Porsche,Macan,5,WW au Maroc,Non,39 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
35 000 DH,1998,Manuelle,Essence,100 000 - 109 999,Peugeot,306,5,WW au Maroc,Non,8 CV,Très bon,"[""CD/MP3/Bluetooth"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Si\u00e8ges cuir"", ""Ordinateur de bord""]"
180 000 DH,2016,Automatique,Diesel,180 000 - 189 999,Volkswagen,Passat,5,WW au Maroc,Non,8 CV,Très bon,"[""R\u00e9gulateur de vitesse"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Limiteur de vitesse"", ""Airbags""]"
205 000 DH,2019,Manuelle,Diesel,40 000 - 44 999,Ford,Kuga,5,Pas encore dédouanée,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
220 000 DH,2015,Automatique,Diesel,200 000 - 249 999,Audi,A3,5,Dédouanée,Non,8 CV,Excellent,"[""Syst\u00e8me de navigation/GPS"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir""]"
185 000 DH,2017,Automatique,Diesel,110 000 - 119 999,DS,DS5,5,WW au Maroc,Non,8 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
75 000 DH,2006,Manuelle,Diesel,300 000 - 349 999,Ford,Ranger,5,WW au Maroc,Non,12 CV,Très bon,"[""CD/MP3/Bluetooth"", ""ABS"", ""Airbags"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Ordinateur de bord""]"
192 000 DH,2017,Automatique,Diesel,110 000 - 119 999,Renault,Talisman,5,WW au Maroc,Non,6 CV,Très bon,"[""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
129 000 DH,2018,Manuelle,Diesel,55 000 - 59 999,Dacia,Sandero,5,WW au Maroc,Oui,6 CV,Neuf,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
195 000 DH,2018,Manuelle,Diesel,110 000 - 119 999,Hyundai,Tucson,5,WW au Maroc,Non,7 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
174 000 DH,2017,Automatique,Diesel,150 000 - 159 999,Volkswagen,Passat CC,5,WW au Maroc,Non,8 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Airbags""]"
220 000 DH,2023,Automatique,Hybride,45 000 - 49 999,Toyota,Corolla Cross,5,WW au Maroc,Oui,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
13 700 DH,2021,Automatique,Electrique,35 000 - 39 999,Renault,Zoe,5,Pas encore dédouanée,Oui,8 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
68 000 DH,2009,Manuelle,Essence,80 000 - 84 999,Ford,Ka,3,Dédouanée,Oui,7 CV,Très bon,[]
180 000 DH,2021,Manuelle,Diesel,120 000 - 129 999,Citroen,Berlingo,5,WW au Maroc,Oui,6 CV,Excellent,[]
50 000 DH,2002,Manuelle,Diesel,Plus de 500 000,Land Rover,Freelander,3,Dédouanée,Non,8 CV,Bon,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Airbags""]"
230 000 DH,2016,Automatique,Diesel,200 000 - 249 999,BMW,Série 3,5,WW au Maroc,Oui,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
158 000 DH,2020,Manuelle,Diesel,85 000 - 89 999,Citroen,Berlingo,5,WW au Maroc,Non,6 CV,Excellent,[]
90 000 DH,2014,Manuelle,Diesel,160 000 - 169 999,Volkswagen,Polo,5,WW au Maroc,Non,6 CV,Très bon,[]
450 000 DH,2021,Automatique,Diesel,120 000 - 129 999,Volkswagen,Tiguan,5,Dédouanée,Oui,8 CV,Excellent,"[""Toit ouvrant""]"
210 000 DH,2022,Automatique,Diesel,55 000 - 59 999,Dacia,Duster,5,WW au Maroc,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
190 000 DH,2014,Manuelle,Diesel,170 000 - 179 999,Volkswagen,Tiguan,5,Dédouanée,8 CV,Excellent,ABS,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
35 000 DH,1998,Manuelle,Diesel,400 000 - 449 999,Mercedes-Benz,Classe E,5,Dédouanée,Non,10 CV,Très bon,"[""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Airbags""]"
110 000 DH,2011,Manuelle,Essence,10 000 - 14 999,Mini,Cooper,9 CV,Très bon,,,,[]
177 000 DH,2020,Automatique,Diesel,95 000 - 99 999,Peugeot,308,5,WW au Maroc,Non,6 CV,Neuf,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
188 000 DH,2022,Manuelle,Essence,30 000 - 34 999,Suzuki,Jimny,3,WW au Maroc,Oui,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
450 000 DH,2021,Automatique,Electrique,50 000 - 54 999,Tesla,Model 3,5,Dédouanée,Non,Plus de 41 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
330 000 DH,2018,Automatique,Diesel,160 000 - 169 999,Mercedes-Benz,Classe GLC,5,WW au Maroc,Oui,9 CV,Excellent,[]
579 999 DH,2021,Automatique,Hybride,140 000 - 149 999,Mercedes-Benz,Classe GLC,Dédouanée,Oui,8 CV,Excellent,ABS,"[""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
