Prix,Année,BoiteàV,Carburant,kilometrage,Marque,Model,NBporte,Origine,Première main,Puissance fiscale,Etat,équipements
122 000 DH,2019,Manuelle,Diesel,20 000 - 24 999,Citroen,C3,5,WW au Maroc,Non,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
310 000 DH,2022,Automatique,Diesel,110 000 - 119 999,Volkswagen,T-Roc,5,WW au Maroc,Oui,8 CV,Excellent,[]
160 000 DH,2012,Manuelle,Diesel,200 000 - 249 999,Volkswagen,Touran,5,Dédouanée,6 CV,Très bon,ABS,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
355 000 DH,2013,Automatique,Diesel,180 000 - 189 999,Mercedes-Benz,Classe S,5,WW au Maroc,Non,12 CV,Très bon,"[""R\u00e9gulateur de vitesse"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
280 000 DH,2019,Automatique,Diesel,85 000 - 89 999,Seat,Ateca,5,WW au Maroc,Oui,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
560 000 DH,2022,Automatique,Diesel,55 000 - 59 999,Audi,Q7,3,WW au Maroc,Oui,12 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
48 000 DH,2008,Manuelle,Essence,200 000 - 249 999,Kia,Picanto,5,WW au Maroc,Non,6 CV,Très bon,"[""Cam\u00e9ra de recul"", ""CD/MP3/Bluetooth"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
129 000 DH,2016,Manuelle,Diesel,250 000 - 299 999,Skoda,Octavia,5,WW au Maroc,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
15 000 DH,1991,Manuelle,Essence,450 000 - 499 999,Renault,Super 5,5,WW au Maroc,Non,6 CV,Bon,"[""Verrouillage centralis\u00e9 \u00e0 distance""]"
105 000 DH,2018,Manuelle,Diesel,160 000 - 169 999,Renault,Clio,5,WW au Maroc,Non,6 CV,Bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
320 000 DH,2018,Automatique,Essence,110 000 - 119 999,Ford,Mustang,3,Importée neuve,Non,13 CV,Très bon,[]
345 000 DH,2021,Automatique,Diesel,110 000 - 119 999,BMW,Série 2,5,WW au Maroc,Oui,8 CV,Excellent,"[""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
157 000 DH,2022,Manuelle,Diesel,55 000 - 59 999,Peugeot,208,5,WW au Maroc,Non,6 CV,Bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Limiteur de vitesse"", ""Airbags""]"
235 000 DH,2021,Manuelle,Diesel,40 000 - 44 999,Jeep,Compass,5,WW au Maroc,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
220 000 DH,2023,Manuelle,Diesel,20 000 - 24 999,Dacia,Duster,5,WW au Maroc,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
68 000 DH,2005,Manuelle,Diesel,0 - 4 999,Opel,Astra,5,WW au Maroc,Non,7 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Si\u00e8ges cuir"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
163 000 DH,2014,Manuelle,Diesel,250 000 - 299 999,Volkswagen,Golf 7,5,Dédouanée,6 CV,Excellent,ABS,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
120 800 DH,2011,Manuelle,Diesel,30 000 - 34 999,Volkswagen,Caddy,5,Dédouanée,Non,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Airbags""]"
240 000 DH,2017,Automatique,Diesel,190 000 - 199 999,Volkswagen,Touran,5,Dédouanée,Oui,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
38 000 DH,1998,Manuelle,Diesel,20 000 - 24 999,Land Rover,Freelander,8 CV,Bon,,,,[]
60 000 DH,1992,Manuelle,Diesel,Plus de 500 000,Mercedes-Benz,190,5,Dédouanée,Non,8 CV,Très bon,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Toit ouvrant"", ""ABS"", ""Jantes aluminium""]"
75 000 DH,2007,Manuelle,Essence,170 000 - 179 999,Mini,Cooper,Dédouanée,9 CV,Excellent,Airbags,CD/MP3/Bluetooth,"[""Verrouillage centralis\u00e9 \u00e0 distance"", ""Toit ouvrant"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation""]"
90 000 DH,2009,Manuelle,Diesel,10 000 - 14 999,Toyota,RAV 4,5,WW au Maroc,9 CV,Excellent,ABS,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation"", ""Airbags""]"
158 000 DH,2015,Manuelle,Diesel,150 000 - 159 999,Ford,Kuga,5,WW au Maroc,Oui,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
127 000 DH,2017,Manuelle,Diesel,75 000 - 79 999,Peugeot,208,5,WW au Maroc,Oui,6 CV,Excellent,[]
68 000 DH,2009,Manuelle,Diesel,15 000 - 19 999,Peugeot,Partner,5,Dédouanée,Oui,7 CV,Très bon,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Jantes aluminium"", ""Climatisation"", ""Airbags""]"
197 000 DH,2023,Manuelle,Diesel,50 000 - 54 999,Jeep,Renegade,5,WW au Maroc,Oui,6 CV,Excellent,[]
210 000 DH,2020,Manuelle,Diesel,140 000 - 149 999,Ford,Kuga,5,WW au Maroc,Oui,6 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
197 000 DH,2021,Automatique,Hybride,60 000 - 64 999,Toyota,Corolla,5,WW au Maroc,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
265 000 DH,2021,Automatique,Diesel,160 000 - 169 999,Hyundai,Santa Fe,5,WW au Maroc,9 CV,Excellent,ABS,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
235 000 DH,2024,Automatique,Essence,0 - 4 999,Opel,Mokka,5,WW au Maroc,Oui,7 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
215 000 DH,2016,Manuelle,Diesel,170 000 - 179 999,Volkswagen,Caddy,5,Dédouanée,Oui,5 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
127 000 DH,2019,Manuelle,Diesel,85 000 - 89 999,Citroen,C3,5,WW au Maroc,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Syst\u00e8me de navigation/GPS"", ""Vitres \u00e9lectriques"", ""ABS"", ""Airbags"", ""Climatisation"", ""Ordinateur de bord""]"
375 000 DH,2020,Automatique,Diesel,100 000 - 109 999,Volkswagen,Tiguan,5,Dédouanée,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
73 000 DH,2006,Manuelle,Diesel,130 000 - 139 999,Kia,K2700,WW au Maroc,11 CV,,,,[]
150 000 DH,2010,Automatique,Diesel,180 000 - 189 999,Mercedes-Benz,220,5,Dédouanée,Non,9 CV,Excellent,"[""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
50 000 DH,2014,Manuelle,Essence,250 000 - 299 999,Renault,Clio,5,Non,6 CV,Bon,,[]
108 000 DH,2018,Automatique,Essence,90 000 - 94 999,Fiat,500,3,WW au Maroc,Non,7 CV,Bon,[]
150 000 DH,2021,Manuelle,Diesel,110 000 - 119 999,Renault,Clio,6 CV,Excellent,,,,[]
25 000 DH,2010,Manuelle,Essence,70 000 - 74 999,Chery,QQ,WW au Maroc,Non,5 CV,Correct,,[]
122 000 DH,2020,Manuelle,Diesel,110 000 - 119 999,Dacia,Dokker,6 CV,Très bon,,,,[]
360 000 DH,2019,Automatique,Diesel,85 000 - 89 999,Mercedes-Benz,Classe A,5,Dédouanée,Non,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
135 000 DH,2016,Manuelle,Diesel,100 000 - 109 999,Honda,Civic,5,Importée neuve,6 CV,Très bon,ABS,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
145 000 DH,2014,Automatique,Diesel,130 000 - 139 999,Jeep,Grand Cherokee,5,WW au Maroc,Oui,12 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
187 000 DH,2017,Automatique,Diesel,130 000 - 139 999,Renault,Kadjar,5,WW au Maroc,Non,6 CV,Bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
30 000 DH,1986,Manuelle,Diesel,10 000 - 14 999,Volkswagen,Golf 2,5,Dédouanée,Non,7 CV,Très bon,"[""Verrouillage centralis\u00e9 \u00e0 distance"", ""Jantes aluminium""]"
40 000 DH,2010,Manuelle,Essence,0 - 4 999,Suzuki,Alto,5,Oui,6 CV,Très bon,ABS,"[""Climatisation"", ""ESP"", ""Airbags"", ""Radar de recul""]"
57 000 DH,2004,Manuelle,Diesel,15 000 - 19 999,Peugeot,307,5,Dédouanée,Non,8 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
102 000 DH,2016,Automatique,Essence,95 000 - 99 999,Fiat,500,5,WW au Maroc,Non,5 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
350 000 DH,2023,Automatique,Diesel,50 000 - 54 999,Volkswagen,T-Roc,5,WW au Maroc,8 CV,Très bon,Airbags,"[""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation"", ""Ordinateur de bord""]"
132 000 DH,2021,Manuelle,Essence,70 000 - 74 999,Seat,Ibiza,5,WW au Maroc,Oui,6 CV,Très bon,"[""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
40 000 DH,2006,Manuelle,Diesel,300 000 - 349 999,Mazda,Premacy,5,WW au Maroc,Non,8 CV,Bon,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Airbags""]"
108 000 DH,2020,Manuelle,Diesel,130 000 - 139 999,Dacia,Dokker,5,WW au Maroc,Oui,6 CV,Très bon,"[""Climatisation"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""Airbags""]"
195 000 DH,2023,Automatique,Diesel,75 000 - 79 999,Peugeot,208,5,WW au Maroc,Non,6 CV,Neuf,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
340 000 DH,2024,Automatique,Diesel,0 - 4 999,Hyundai,Tucson,5,WW au Maroc,Oui,6 CV,Excellent,"[""R\u00e9gulateur de vitesse"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Ordinateur de bord""]"
67 000 DH,2013,Manuelle,Essence,120 000 - 129 999,Hyundai,i10,5,WW au Maroc,Non,6 CV,Très bon,"[""Climatisation"", ""CD/MP3/Bluetooth"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
138 000 DH,2009,Automatique,Diesel,300 000 - 349 999,Mercedes-Benz,Classe E,5,WW au Maroc,Non,9 CV,Bon,"[""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
169 000 DH,2023,Automatique,Diesel,50 000 - 54 999,Renault,Clio,5,WW au Maroc,Oui,6 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
105 000 DH,2012,Manuelle,Diesel,150 000 - 159 999,Alfa Romeo,Giulietta,5,Dédouanée,Non,6 CV,Très bon,[]
168 000 DH,2020,Automatique,Diesel,70 000 - 74 999,Peugeot,208,5,WW au Maroc,Oui,6 CV,Excellent,[]
250 000 DH,2017,Automatique,Electrique,70 000 - 74 999,Mercedes-Benz,Classe A,5,Dédouanée,Oui,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
57 000 DH,2006,Manuelle,Diesel,300 000 - 349 999,Peugeot,307,WW au Maroc,Non,6 CV,Bon,,[]
38 000 DH,1989,Manuelle,Diesel,20 000 - 24 999,Volkswagen,Golf 2,5,WW au Maroc,Non,6 CV,Excellent,[]
115 000 DH,2018,Manuelle,Diesel,150 000 - 159 999,Citroen,C3,WW au Maroc,6 CV,Excellent,,,[]
189 000 DH,2016,Automatique,Diesel,180 000 - 189 999,Volkswagen,Golf 7,5,Importée neuve,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
95 000 DH,2010,Manuelle,Diesel,200 000 - 249 999,Nissan,Qashqai,5,WW au Maroc,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Airbags""]"
179 000 DH,2020,Manuelle,Diesel,75 000 - 79 999,Citroen,Berlingo,5,WW au Maroc,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
192 000 DH,2016,Automatique,Diesel,190 000 - 199 999,Audi,A5,5,WW au Maroc,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
88 000 DH,2019,Manuelle,Essence,130 000 - 139 999,Dacia,Logan,5,WW au Maroc,Oui,7 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ABS"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
90 000 DH,2013,Manuelle,Diesel,40 000 - 44 999,Dacia,Lodgy,5,WW au Maroc,Oui,6 CV,Très bon,"[""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse""]"
120 000 DH,2021,Manuelle,Diesel,45 000 - 49 999,Dacia,Logan,5,WW au Maroc,Non,7 CV,Excellent,"[""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
210 000 DH,2014,Automatique,Diesel,200 000 - 249 999,Volkswagen,Tiguan,5,Dédouanée,Non,8 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
75 000 DH,2017,Manuelle,Essence,130 000 - 139 999,Dacia,Sandero,5,WW au Maroc,Non,7 CV,Très bon,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
268 000 DH,2015,Automatique,Diesel,140 000 - 149 999,Mercedes-Benz,Classe C,5,Dédouanée,9 CV,Excellent,ABS,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
130 000 DH,2015,Manuelle,Diesel,180 000 - 189 999,Opel,Astra,5,WW au Maroc,Non,7 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
