Prix,Année,BoiteàV,Carburant,kilometrage,Marque,Model,NBporte,Origine,Première main,Puissance fiscale,Etat,équipements
103 000 DH,2005,Manuelle,Diesel,0 - 4 999,Mercedes-Benz,220,5,Dédouanée,Non,9 CV,Excellent,"[""Jantes aluminium"", ""Airbags"", ""CD/MP3/Bluetooth"", ""Climatisation"", ""ABS""]"
97 000 DH,2018,Manuelle,Diesel,200 000 - 249 999,Dacia,Logan,5,WW au Maroc,Oui,6 CV,Très bon,"[""Climatisation"", ""Airbags"", ""Radar de recul"", ""CD/MP3/Bluetooth""]"
130 000 DH,2020,Manuelle,Diesel,90 000 - 94 999,Toyota,Yaris,WW au Maroc,Oui,6 CV,Excellent,,[]
27 000 DH,1997,Manuelle,Diesel,10 000 - 14 999,Nissan,Almera,5,WW au Maroc,Non,8 CV,Bon,"[""CD/MP3/Bluetooth""]"
109 000 DH,2013,Manuelle,Diesel,130 000 - 139 999,Ford,Fiesta,WW au Maroc,Non,6 CV,Excellent,,[]
93 000 DH,2017,Manuelle,Essence,110 000 - 119 999,Kia,Picanto,5,WW au Maroc,Oui,5 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
74 000 DH,2017,Manuelle,Essence,130 000 - 139 999,Hyundai,i10,5,WW au Maroc,Oui,6 CV,Airbags,"[""Climatisation"", ""CD/MP3/Bluetooth"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
92 000 DH,2014,Manuelle,Diesel,190 000 - 199 999,Dacia,Logan,5,WW au Maroc,Non,6 CV,Très bon,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
100 DH,2019,Manuelle,Diesel,120 000 - 129 999,Dacia,Duster,5,WW au Maroc,Non,6 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Toit ouvrant"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
260 000 DH,2018,Automatique,Diesel,100 000 - 109 999,Land Rover,Range Rover Evoque,5,WW au Maroc,Oui,8 CV,Bon,[]
150 000 DH,2010,Automatique,Diesel,250 000 - 299 999,BMW,Série 5,WW au Maroc,Non,8 CV,Très bon,Airbags,"[""Jantes aluminium"", ""Climatisation""]"
59 000 DH,2006,Manuelle,Diesel,350 000 - 399 999,Renault,Clio,5,WW au Maroc,Non,6 CV,Très bon,"[""Jantes aluminium"", ""Airbags"", ""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
349 999 DH,2019,Automatique,Diesel,200 000 - 249 999,Volkswagen,Tiguan,5,Dédouanée,8 CV,Très bon,ABS,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Toit ouvrant"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""ESP"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
175 000 DH,2018,Manuelle,Diesel,200 000 - 249 999,Renault,Trafic,5,WW au Maroc,Non,9 CV,Excellent,"[""Limiteur de vitesse"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""ESP"", ""Vitres \u00e9lectriques"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
33 000 DH,1995,Manuelle,Diesel,200 000 - 249 999,BMW,Série 5,Dédouanée,Non,10 CV,Très bon,Climatisation,"[""Jantes aluminium""]"
90 000 DH,2014,Manuelle,Diesel,15 000 - 19 999,Ssangyong,Korando,5,WW au Maroc,Non,8 CV,Très bon,"[""Jantes aluminium"", ""ABS"", ""CD/MP3/Bluetooth"", ""Vitres \u00e9lectriques""]"
107 000 DH,2008,Manuelle,Diesel,250 000 - 299 999,Volkswagen,Caddy,5,Dédouanée,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Climatisation"", ""Syst\u00e8me de navigation/GPS"", ""ESP"", ""Vitres \u00e9lectriques"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
68 000 DH,2013,Manuelle,Diesel,170 000 - 179 999,Dacia,Logan,5,WW au Maroc,Non,6 CV,Bon,[]
145 000 DH,2012,Manuelle,Diesel,200 000 - 249 999,Toyota,RAV 4,5,Dédouanée,Non,9 CV,Très bon,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Airbags"", ""Toit ouvrant"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Vitres \u00e9lectriques"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
75 000 DH,2004,Manuelle,Diesel,200 000 - 249 999,Volkswagen,Passat,5,WW au Maroc,Non,8 CV,Neuf,"[""Airbags"", ""Cam\u00e9ra de recul"", ""CD/MP3/Bluetooth"", ""Climatisation"", ""Vitres \u00e9lectriques"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
85 000 DH,2019,Manuelle,Essence,90 000 - 94 999,Fiat,Panda,5,WW au Maroc,Oui,7 CV,Excellent,"[""Climatisation"", ""Airbags"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
79 000 DH,2016,Manuelle,Diesel,190 000 - 199 999,Fiat,Doblo,5,WW au Maroc,Oui,5 CV,Bon,"[""Ordinateur de bord"", ""Airbags"", ""CD/MP3/Bluetooth"", ""ABS"", ""ESP"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
115 000 DH,2017,Manuelle,Diesel,180 000 - 189 999,Renault,Kangoo,5,Non,6 CV,Excellent,ABS,"[""Ordinateur de bord"", ""Airbags"", ""CD/MP3/Bluetooth"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
40 000 DH,2013,Manuelle,Diesel,Plus de 500 000,Fiat,Punto,5,WW au Maroc,Oui,5 CV,Bon,"[""Airbags"", ""CD/MP3/Bluetooth"", ""Climatisation"", ""Vitres \u00e9lectriques"", ""ABS""]"
217 000 DH,2016,Manuelle,Diesel,170 000 - 179 999,Volkswagen,Tiguan,5,Dédouanée,Non,8 CV,Très bon,"[""Ordinateur de bord"", ""Jantes aluminium"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Toit ouvrant"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques""]"
43 000 DH,1994,Manuelle,Diesel,30 000 - 34 999,Mercedes-Benz,Classe C,5,Importée neuve,Non,10 CV,Très bon,[]
52 000 DH,2009,Manuelle,Essence,30 000 - 34 999,Fiat,Punto,5,WW au Maroc,7 CV,Excellent,CD/MP3/Bluetooth,"[""Climatisation"", ""Vitres \u00e9lectriques""]"
165 000 DH,2022,Manuelle,Diesel,70 000 - 74 999,Renault,Clio,5,WW au Maroc,Oui,6 CV,Excellent,[]
167 000 DH,2015,Manuelle,Diesel,200 000 - 249 999,Volkswagen,Touran,5,Dédouanée,Non,6 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
65 000 DH,2005,Manuelle,Diesel,180 000 - 189 999,Renault,Espace,5,WW au Maroc,8 CV,,,[]
123 000 DH,2017,Manuelle,Diesel,140 000 - 149 999,Renault,Kangoo,5,WW au Maroc,Oui,6 CV,Excellent,"[""Jantes aluminium"", ""CD/MP3/Bluetooth"", ""Vitres \u00e9lectriques""]"
335 000 DH,2024,Automatique,Diesel,25 000 - 29 999,BMW,Série 1,5,WW au Maroc,Oui,7 CV,Neuf,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
165 000 DH,2020,Manuelle,Diesel,90 000 - 94 999,Opel,Campo,5,6 CV,Excellent,ABS,Airbags,"[""Limiteur de vitesse"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""ESP"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
220 000 DH,2019,Automatique,Diesel,200 000 - 249 999,Peugeot,3008,5,WW au Maroc,Oui,8 CV,Très bon,[]
210 000 DH,2022,Manuelle,Diesel,50 000 - 54 999,Renault,Captur,5,WW au Maroc,Oui,6 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
58 000 DH,2013,Manuelle,Essence,140 000 - 149 999,Renault,Clio,6 CV,Très bon,Airbags,CD/MP3/Bluetooth,Climatisation,"[""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
219 000 DH,2024,Automatique,Essence,15 000 - 19 999,Seat,Ibiza,5,WW au Maroc,Oui,6 CV,Neuf,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Toit ouvrant"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
398 000 DH,2020,Automatique,Diesel,110 000 - 119 999,Volkswagen,Touareg,5,WW au Maroc,Oui,12 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Toit ouvrant"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
70 000 DH,2008,Manuelle,Diesel,350 000 - 399 999,Hyundai,Tucson,5,8 CV,,,,[]
180 000 DH,2018,Manuelle,Diesel,190 000 - 199 999,Ford,Kuga,5,WW au Maroc,Oui,6 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Airbags"", ""Cam\u00e9ra de recul"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
87 000 DH,2013,Manuelle,Diesel,180 000 - 189 999,Seat,Ibiza,5,WW au Maroc,Non,6 CV,Très bon,[]
55 000 DH,2010,Manuelle,Essence,250 000 - 299 999,Peugeot,207,5,WW au Maroc,Non,8 CV,CD/MP3/Bluetooth,"[""Climatisation"", ""Cam\u00e9ra de recul"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
15 000 DH,1999,Manuelle,Diesel,450 000 - 499 999,Fiat,Siena,5,WW au Maroc,Non,7 CV,Bon,[]
49 000 DH,2003,Manuelle,Essence,200 000 - 249 999,Honda,Jazz,5,WW au Maroc,Non,8 CV,Très bon,"[""Climatisation""]"
110 000 DH,2012,Manuelle,Diesel,200 000 - 249 999,Dacia,Duster,Oui,8 CV,Bon,,,[]
145 000 DH,2012,Manuelle,Diesel,200 000 - 249 999,Toyota,RAV 4,5,Dédouanée,Non,9 CV,Très bon,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Airbags"", ""Toit ouvrant"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Vitres \u00e9lectriques"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
117 000 DH,2018,Manuelle,Diesel,100 000 - 109 999,Dacia,Sandero,5,WW au Maroc,Oui,6 CV,Très bon,[]
190 000 DH,2021,Manuelle,Diesel,45 000 - 49 999,Hyundai,H-100,5,WW au Maroc,Non,10 CV,Très bon,[]
215 000 DH,2020,Automatique,Diesel,100 000 - 109 999,Citroen,C5,5,WW au Maroc,Oui,8 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
580 000 DH,2022,Automatique,Diesel,45 000 - 49 999,Audi,A6,5,Dédouanée,Oui,8 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Toit ouvrant"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
47 000 DH,2006,Manuelle,Essence,95 000 - 99 999,Peugeot,206,5,WW au Maroc,Non,6 CV,Très bon,"[""Climatisation""]"
112 000 DH,2016,Manuelle,Diesel,120 000 - 129 999,Renault,Clio,WW au Maroc,Oui,6 CV,ABS,Airbags,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""ESP"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
48 000 DH,2003,Manuelle,Diesel,400 000 - 449 999,Peugeot,206,5,Non,7 CV,Bon,Climatisation,"[""Vitres \u00e9lectriques""]"
65 000 DH,2000,Manuelle,Diesel,400 000 - 449 999,Ford,Focus,5,Dédouanée,Non,6 CV,Très bon,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
20 000 DH,1992,Manuelle,Essence,5 000 - 9 999,Isuzu,Landwind,3,WW au Maroc,Oui,11 CV,Bon,"[""Si\u00e8ges cuir""]"
143 000 DH,2018,Automatique,Diesel,95 000 - 99 999,Renault,Clio,3,WW au Maroc,Non,4 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ABS""]"
160 000 DH,2020,Manuelle,Essence,55 000 - 59 999,Toyota,C-HR,7 CV,Excellent,,,,[]
65 000 DH,2009,Manuelle,Essence,170 000 - 179 999,Peugeot,308,5,WW au Maroc,Non,8 CV,Excellent,"[""Jantes aluminium"", ""Airbags"", ""Cam\u00e9ra de recul"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""ESP"", ""Vitres \u00e9lectriques"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
260 000 DH,2015,Manuelle,Diesel,120 000 - 129 999,Volkswagen,Sharan,5,Dédouanée,Oui,8 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
190 000 DH,2018,Automatique,Diesel,110 000 - 119 999,Jeep,Renegade,5,WW au Maroc,6 CV,Très bon,,[]
73 000 DH,2010,Manuelle,Diesel,250 000 - 299 999,Dacia,Logan,5,WW au Maroc,Non,6 CV,Excellent,"[""Climatisation"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
98 000 DH,2015,Manuelle,Diesel,160 000 - 169 999,Renault,Clio,6 CV,Très bon,CD/MP3/Bluetooth,Climatisation,Limiteur de vitesse,[]
105 000 DH,2017,Manuelle,Essence,160 000 - 169 999,Seat,Ibiza,5,WW au Maroc,Oui,6 CV,Excellent,"[""Limiteur de vitesse"", ""Airbags"", ""CD/MP3/Bluetooth"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
165 000 DH,2015,Automatique,Diesel,190 000 - 199 999,Volkswagen,Touareg,5,WW au Maroc,11 CV,Excellent,ABS,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""ESP"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
290 000 DH,2016,Automatique,Diesel,200 000 - 249 999,Volkswagen,Tiguan,Dédouanée,Non,11 CV,,,[]
112 000 DH,2018,Manuelle,Diesel,130 000 - 139 999,Renault,Kangoo,5,WW au Maroc,Non,6 CV,Très bon,[]
164 900 DH,2019,Manuelle,Diesel,110 000 - 119 999,Dacia,Duster,5,WW au Maroc,Non,6 CV,Bon,[]
210 000 DH,2017,Automatique,Diesel,200 000 - 249 999,Mercedes-Benz,Classe CLA,5,WW au Maroc,Non,6 CV,Bon,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
250 000 DH,2014,Automatique,Diesel,200 000 - 249 999,Land Rover,Range Rover Vogue,5,WW au Maroc,Oui,18 CV,Très bon,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Toit ouvrant"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
67 000 DH,2013,Manuelle,Diesel,250 000 - 299 999,Renault,Kangoo,5,WW au Maroc,Non,6 CV,Très bon,[]
320 000 DH,2020,Automatique,Diesel,130 000 - 139 999,Audi,Q3,5,Dédouanée,Non,8 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
175 000 DH,2022,Manuelle,Diesel,75 000 - 79 999,Peugeot,Landtrek,3,WW au Maroc,Oui,8 CV,Très bon,[]
98 000 DH,2017,Manuelle,Diesel,190 000 - 199 999,Fiat,Tipo,5,WW au Maroc,Non,5 CV,Très bon,"[""Airbags"", ""CD/MP3/Bluetooth"", ""Climatisation"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
118 000 DH,2017,Manuelle,Diesel,170 000 - 179 999,Renault,Clio,5,WW au Maroc,Oui,6 CV,Très bon,[]
118 000 DH,2016,Manuelle,Diesel,140 000 - 149 999,Renault,Kangoo,5,WW au Maroc,Oui,5 CV,Excellent,"[""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Airbags"", ""Toit ouvrant"", ""Climatisation"", ""Syst\u00e8me de navigation/GPS""]"
182 000 DH,2022,Manuelle,Diesel,10 000 - 14 999,Opel,Crossland,5,WW au Maroc,Oui,6 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""ESP"", ""Vitres \u00e9lectriques"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
114 000 DH,2019,Manuelle,Diesel,5 000 - 9 999,Renault,Clio,5,WW au Maroc,Oui,8 CV,Très bon,"[""Jantes aluminium""]"
579 999 DH,2021,Automatique,Hybride,140 000 - 149 999,Mercedes-Benz,Classe GLC,Dédouanée,Oui,8 CV,Excellent,ABS,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Ordinateur de bord"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Toit ouvrant"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""ESP"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
95 000 DH,2013,Manuelle,Diesel,200 000 - 249 999,Volkswagen,Polo,5,WW au Maroc,Non,5 CV,Très bon,"[""Jantes aluminium"", ""Airbags"", ""Cam\u00e9ra de recul"", ""CD/MP3/Bluetooth"", ""Climatisation""]"
250 000 DH,2017,Automatique,Diesel,100 000 - 109 999,Jaguar,F-Pace,5,WW au Maroc,Non,8 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Toit ouvrant"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
115 000 DH,2009,Manuelle,Diesel,5 000 - 9 999,Volkswagen,Caddy,5,Dédouanée,6 CV,ABS,Airbags,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Climatisation"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
273 000 DH,2019,Automatique,Diesel,55 000 - 59 999,Peugeot,3008,5,WW au Maroc,Oui,8 CV,Très bon,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Toit ouvrant"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
158 000 DH,2022,Manuelle,Diesel,70 000 - 74 999,Renault,Clio,5,WW au Maroc,Oui,6 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
225 000 DH,2014,Automatique,Diesel,190 000 - 199 999,Audi,Q5,5,Importée neuve,Oui,8 CV,Neuf,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Toit ouvrant"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
115 000 DH,2017,Manuelle,Diesel,100 000 - 109 999,Dacia,Sandero,5,WW au Maroc,Oui,6 CV,Excellent,[]
180 000 DH,2019,Automatique,Diesel,140 000 - 149 999,Dacia,Duster,5,WW au Maroc,6 CV,Excellent,,[]
95 000 DH,2006,Manuelle,Diesel,160 000 - 169 999,Mercedes-Benz,Classe B,5,WW au Maroc,Non,8 CV,Très bon,"[""Jantes aluminium"", ""Airbags"", ""Cam\u00e9ra de recul"", ""Climatisation"", ""Syst\u00e8me de navigation/GPS"", ""ESP"", ""Vitres \u00e9lectriques"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
160 000 DH,2018,Manuelle,Diesel,65 000 - 69 999,Opel,Crossland,6 CV,,,,,[]
90 000 DH,2012,Manuelle,Diesel,150 000 - 159 999,Renault,Megane,3,WW au Maroc,Non,6 CV,Très bon,"[""Limiteur de vitesse"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS""]"
