Prix,BoiteàV,Carburant,kilometrage,NBporte,Origine,Première main,Puissance fiscale,Etat,Age,Limiteur de vitesse,Jantes aluminium,CD/MP3/Bluetooth,Climatisation,Vitres électriques,Verrouillage centralisé à distance,Airbags,Caméra de recul,Système de navigation/GPS,Radar de recul,ESP,ABS,Ordinateur de bord,Régulateur de vitesse,Sièges cuir,Toit ouvrant,Marque_freq,Modèle_freq
310.0,1,0,0.023823864116679114,5,3.0,0,0.7925366864848372,3.0,-0.15415880478354393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07283901439708644,0.014055653559437773
420.0,1,0,0.6433033924806576,5,2.0,1,2.3286695841851497,3.0,-0.2907168972553008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.025322938598987082,0.008649632959654015
130.0,0,0,-1.0292913341020844,5,1.0,1,-0.743596211215475,2.0,-0.9735073596140853,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.03448472087862061,0.0035850452398565984
48.0,0,0,-1.586822909629665,5,1.0,0,-0.743596211215475,1.0,2.0307706747645664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08000910487679963,0.006828657599726853
178.0,0,0,-0.9673433812656865,5,1.0,1,-0.743596211215475,3.0,-1.1100654520858422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08655323507653787,0.0030159904398793604
490.0,1,0,-0.5956556642472994,5,2.0,1,0.2804923872513998,3.0,-0.5638330821988146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.07283901439708644,0.014055653559437773
192.0,1,0,0.6433033924806576,5,1.0,0,0.2804923872513998,3.0,0.3920735651034836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.042451488078301944,0.004723154839811074
110.0,0,0,1.5105747321902276,5,3.0,0,0.2804923872513998,3.0,0.8017478425187543,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0.11938769703522449,0.007283901439708644
128.0,0,0,-0.22396794722891228,3,1.0,1,-0.743596211215475,3.0,0.11895738015996983,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0.1093723325556251,0.0031867068798725317
135.0,1,0,0.8910952038262491,5,3.0,0,0.7925366864848372,3.0,0.25551547263172675,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0.0013088260399476469,0.00022762191999089513
232.0,1,0,-0.6576036170836972,5,1.0,1,0.7925366864848372,2.0,-0.8369492671423284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018152848119273885,0.002902179479883913
160.0,0,0,-1.4009790511204714,5,1.0,1,0.2804923872513998,3.0,-0.017600712311787052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11938769703522449,0.011665623399533375
215.0,0,0,0.519407486807862,5,3.0,1,-1.2556405104489126,2.0,-0.15415880478354393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11938769703522449,0.007283901439708644
98.0,0,0,0.39551158113506624,5,1.0,1,0.7925366864848372,3.0,0.6651897500469974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.057076196437716956,0.00796676719968133
55.0,0,0,-1.215135192611278,5,1.0,0,0.2804923872513998,3.0,2.0307706747645664,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.11938769703522449,0.0043248164798270075
73.0,0,0,-1.586822909629665,5,3.0,0,0.2804923872513998,2.0,0.6651897500469974,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0279974961588801,0.007170090479713197
98.0,0,0,-1.4629270039568694,5,1.0,1,-1.2556405104489126,2.0,-0.5638330821988146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08655323507653787,0.014112559039435498
75.0,0,0,2.130054260554206,5,1.0,0,-0.23155191198203764,2.0,1.074864027462268,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0.02930632219882775,0.009047971319638082
260.0,0,0,-0.7195515699200951,5,1.0,1,1.8166252849517122,1.0,-0.4272749897270577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018152848119273885,0.0031867068798725317
129.0,0,0,-0.347863852901708,5,1.0,1,-0.743596211215475,3.0,-0.9735073596140853,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0.08655323507653787,0.02646104819894156
410.0,1,0,-0.347863852901708,5,1.0,1,0.2804923872513998,3.0,-0.8369492671423284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.03602116883855915,0.009275593239628977
36.0,0,0,-1.4629270039568694,5,2.0,0,-0.743596211215475,2.0,3.8060258768974053,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.11938769703522449,0.001820975359927161
108.0,0,0,0.2716156754622705,5,1.0,0,-0.743596211215475,2.0,-0.5638330821988146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1093723325556251,0.03892334831844307
